Date,Exchange_Rate
2020-08,7.70132
2020-08,7.70132
2020-08,7.69595
2020-08,7.69823
2020-08,7.70262
2020-08,7.71029
2020-08,7.72508
2020-08,7.72508
2020-08,7.72508
2020-08,7.72991
2020-09,7.72961
2020-09,7.72672
2020-09,7.72938
2020-09,7.73490
2020-09,7.73490
2020-09,7.73490
2020-09,7.73182
2020-09,7.73932
2020-09,7.74131
2020-09,7.75328
2020-09,7.75858
2020-09,7.75858
2020-09,7.75858
2020-09,7.75927
2020-09,7.75927
2020-09,7.75303
2020-09,7.75650
2020-09,7.75687
2020-09,7.75687
2020-09,7.75687
2020-09,7.76610
2020-09,7.75888
2020-09,7.76677
2020-09,7.78630
2020-09,7.78459
2020-09,7.78459
2020-09,7.78459
2020-09,7.78230
2020-09,7.78543
2020-09,7.78602
2020-10,7.78375
2020-10,7.78222
2020-10,7.78222
2020-10,7.78222
2020-10,7.77718
2020-10,7.77848
2020-10,7.77686
2020-10,7.77703
2020-10,7.77514
2020-10,7.77514
2020-10,7.77514
2020-10,7.77514
2020-10,7.78165
2020-10,7.77696
2020-10,7.77950
2020-10,7.78231
2020-10,7.78231
2020-10,7.78231
2020-10,7.78355
2020-10,7.78355
2020-10,7.77790
2020-10,7.78046
2020-10,7.78035
2020-10,7.78035
2020-10,7.78035
2020-10,7.77983
2020-10,7.78042
2020-10,7.78619
2020-10,7.79165
2020-10,7.79595
2020-10,7.79595
2020-11,7.79595
2020-11,7.79595
2020-11,7.78858
2020-11,7.78602
2020-11,7.78318
2020-11,7.78214
2020-11,7.78214
2020-11,7.78214
2020-11,7.77957
2020-11,7.77537
2020-11,7.77567
2020-11,7.78309
2020-11,7.77684
2020-11,7.77684
2020-11,7.77684
2020-11,7.77727
2020-11,7.77956
2020-11,7.78000
2020-11,7.77842
2020-11,7.78348
2020-11,7.78348
2020-11,7.78348
2020-11,7.78586
2020-11,7.79212
2020-11,7.80053
2020-11,7.80820
2020-11,7.81985
2020-11,7.81985
2020-11,7.81985
2020-11,7.81405
2020-12,7.81148
2020-12,7.81321
2020-12,7.81773
2020-12,7.81681
2020-12,7.81681
2020-12,7.81681
2020-12,7.81099
2020-12,7.81035
2020-12,7.80736
2020-12,7.80327
2020-12,7.80537
2020-12,7.80537
2020-12,7.80537
2020-12,7.80233
2020-12,7.79678
2020-12,7.79621
2020-12,7.79413
